No,Seberapa sering anda menggunakan bahasa pemrograman C?,Seberapa tahukah anda tentang bahasa permograman Java?,Pernahkah anda membuat program menggunakan bahasa pemrograman Python?,Seberapa tahukah anda tentang Pemrograman Interface (API)?,Seberapa tahukah anda tentang Pemrograman Berorientasi Objek (OOP)?,Seberapa sering anda menggunakan programming software bajakan?,Seberapa perlunya dokumen manual/tutorial ketika membuat program?,Pernakah anda melakukan trial dan error atau mengembangkan program yang dibuat orang lain?,Seberapa seringkah anda menggunakan Extension saat membuat program?,"Seberapa sering anda mengelola (menginstal,menghapus,menonaktifkan instalasi) Extension anda?", Apakah anda sering menggunakan Extension berbayar?, Apakah anda sering menggunakan Auto Indent Extension?
1,3,2,2,1,1,3,5,1,1,1,1,1
2,1,2,2,1,1,3,5,1,1,1,1,1
3,1,2,1,3,2,1,4,4,3,3,1,1
4,4,2,1,2,2,1,4,1,1,3,1,1
5,3,2,1,1,1,1,1,1,1,1,1,1
6,1,2,2,2,4,2,5,4,3,1,1,1
7,1,4,2,3,4,2,4,1,2,2,1,1
8,1,1,1,2,1,1,1,1,1,1,1,1
9,4,2,3,2,3,1,2,1,3,3,1,3
10,1,4,1,2,1,3,4,1,1,3,3,2
11,3,3,1,4,4,1,4,4,3,3,2,2
12,4,2,1,1,2,2,5,1,3,3,1,1
13,1,2,1,1,1,2,4,4,1,2,1,1
14,1,1,1,1,1,3,4,1,1,1,1,1
15,4,4,1,1,4,4,4,5,1,4,4,4
16,3,2,1,2,2,5,5,4,4,4,1,3
17,1,2,1,2,2,4,4,1,1,1,1,1
18,1,1,1,2,2,5,4,1,1,1,1,1
19,3,1,1,1,1,3,3,4,1,4,4,3
20,3,1,1,1,1,3,3,4,1,4,4,3
21,1,2,2,3,2,3,4,1,3,4,3,1
22,1,2,1,2,2,3,4,1,1,4,1,1
23,1,2,4,2,3,3,5,5,3,3,1,1
24,4,4,5,4,4,2,5,5,3,4,2,3
25,1,1,1,1,1,1,5,1,1,1,1,1
26,3,3,1,2,2,1,4,1,1,1,1,1
27,3,3,1,2,2,4,3,4,2,3,4,3
28,3,2,3,2,2,4,4,4,3,4,1,3
29,3,2,3,2,2,4,4,4,3,3,1,3
30,4,4,3,4,3,3,3,5,3,3,3,3
31,1,1,1,1,1,1,5,1,1,1,1,1
32,3,3,3,3,3,1,4,1,1,2,3,2
33,3,3,1,2,2,1,2,1,2,2,3,2
34,1,1,1,1,1,1,5,1,1,1,1,1
35,3,3,2,2,2,2,2,4,2,3,2,2
36,1,1,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,5,1,1,1,1,1
38,4,2,1,3,1,1,5,1,1,4,3,1
39,1,2,1,2,2,1,5,1,4,4,1,1
40,3,2,1,2,2,3,5,1,3,3,1,3
41,3,4,1,2,4,1,4,1,1,3,4,3
42,3,3,1,4,1,1,4,1,3,3,1,1
43,3,1,1,1,1,1,3,1,1,1,1,1
44,4,4,3,2,2,3,4,5,3,4,4,4
45,5,4,3,2,4,3,2,4,3,5,4,2
46,3,3,1,1,2,1,4,1,1,1,1,1
47,3,1,1,2,1,3,4,1,4,3,1,3
48,3,3,1,4,3,4,5,4,3,3,3,3
49,3,5,1,4,4,1,2,1,4,4,4,1
50,1,3,1,1,1,1,5,1,1,1,1,1
51,4,2,1,4,3,1,5,1,4,4,1,1
52,1,2,1,2,2,1,5,1,4,4,1,1
53,3,2,4,1,2,1,5,5,1,1,1,1
54,3,2,1,1,1,1,4,1,1,3,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,4,1,1,1,1,1
57,3,2,1,2,2,3,4,1,3,3,3,3
58,3,3,1,2,2,2,4,4,3,3,2,2
59,3,2,2,3,4,5,5,5,1,1,1,1
60,3,3,2,2,2,4,5,1,3,3,3,1
61,3,3,1,2,2,1,4,1,1,3,1,1
62,4,4,1,2,4,1,4,1,1,3,1,1
63,3,2,1,2,1,1,5,1,1,3,3,1
64,3,4,3,3,3,5,5,4,3,4,3,3
65,1,1,1,2,2,1,5,1,3,4,3,3
66,1,1,1,2,2,1,5,1,3,4,3,3
67,1,1,1,2,2,1,5,1,3,4,3,3
68,3,2,3,2,2,1,5,1,3,1,1,1
69,2,2,1,1,1,3,4,1,1,1,1,1
70,3,2,1,2,2,1,3,4,3,4,3,3
71,3,3,1,1,1,3,4,1,1,4,1,1
72,1,1,1,1,1,1,1,1,1,1,1,1
73,1,1,1,1,1,3,3,1,1,1,1,1
74,3,2,3,3,4,2,4,1,3,2,1,2
75,3,2,1,1,1,1,4,1,1,1,1,1
76,3,2,1,1,1,1,4,1,1,1,1,1
77,3,4,2,2,4,4,4,1,3,3,2,3
78,1,1,1,1,1,1,1,1,1,1,1,1
79,2,2,1,2,2,3,4,1,2,3,1,1
80,2,2,1,2,2,3,4,1,2,3,1,1
81,3,2,1,1,1,5,4,4,3,4,1,1
82,3,2,1,1,2,1,4,1,1,1,1,1
83,3,3,1,2,2,1,5,1,1,3,3,1
84,3,3,4,4,5,1,5,1,3,3,1,3
85,4,3,1,4,4,4,4,4,3,3,3,2
86,3,4,2,3,4,3,5,5,4,4,4,3
87,3,4,5,5,4,1,4,5,4,3,3,1
88,3,3,1,4,1,1,5,1,1,1,1,1
89,3,3,4,4,3,4,4,1,3,4,3,1
90,1,2,1,1,1,1,1,1,1,1,1,1
91,4,5,3,3,4,5,5,4,5,3,3,4
92,3,2,1,2,2,3,3,1,3,3,1,2
93,3,1,1,2,4,1,3,1,3,3,1,1
94,3,4,3,4,4,4,3,4,4,3,1,4
95,1,4,3,2,2,1,5,3,1,1,1,1
96,2,3,1,2,2,4,5,4,3,3,3,3
97,4,4,3,4,4,1,4,4,4,3,3,4
98,2,4,1,2,4,3,5,5,3,1,1,1
99,2,4,1,5,4,2,5,3,4,3,3,1
100,2,5,3,5,5,4,5,5,5,4,1,5
101,3,4,2,5,5,5,5,5,5,3,1,5
102,3,4,5,4,4,1,4,4,4,3,1,4
103,1,4,1,4,4,4,5,3,4,4,1,1
104,1,1,1,1,1,4,5,3,1,1,1,1
105,2,4,3,4,4,2,4,2,3,3,2,4
106,1,4,2,4,5,5,5,3,5,3,1,1
107,5,4,1,4,2,1,4,3,3,3,3,3
108,3,4,1,4,5,1,5,1,3,2,1,1
109,1,1,1,1,1,1,5,3,3,4,1,1
110,3,2,1,2,2,1,5,4,3,1,1,1
111,3,2,1,2,4,5,5,5,5,5,4,4
112,3,3,2,3,2,1,4,1,1,1,1,1
113,1,1,1,1,1,1,1,1,1,1,1,1
114,3,2,1,2,1,1,5,4,1,3,4,3
115,1,2,1,2,2,4,4,3,3,2,4,3
116,4,2,1,2,2,3,4,3,3,3,3,3
117,1,1,1,1,1,1,1,1,1,1,1,1
118,1,1,1,2,1,3,5,1,1,5,3,1
